,job-name,schedule,employment,education,experience,location,salary_max,salary_min
0,Преподаватель программирования,Неполный рабочий день,Частичная занятость,Незаконченное высшее,0,Воронежская область,105000,21000
1,Специалист по работе с клиентами B2B,Сменный график,Полная занятость,Не указано,1,Московская область,65800,65800
2,Преподаватель программирования,Неполный рабочий день,Частичная занятость,Незаконченное высшее,0,Воронежская область,105000,21000
0,Менеджер по продажам и по работе с клиентами,Полный рабочий день,Полная занятость,Не указано,0,Свердловская область,120000,40000
1,Оператор производственной линии,Полный рабочий день,Полная занятость,Не указано,0,Ленинградская область,80000,50000
2,Сотрудник склада,Полный рабочий день,Полная занятость,Не указано,1,г Санкт-Петербург,85000,55000
0,Бухгалтер по расчету заработной платы,Полный рабочий день,Временная,Высшее,3,Белгородская область,40000,37000
1,Менеджер по продажам в Экоформа,Полный рабочий день,Полная занятость,Не указано,1,Свердловская область,140000,80000
2,Менеджер по закупкам,Полный рабочий день,Полная занятость,Не указано,1,г Москва,80000,80000
0,продавец-кассир,Полный рабочий день,Полная занятость,Не указано,0,Татарстан республика,28000,25000
1,"Бармен-официант (в ночь, ТЦ Аутлет Новая Рига)",Сменный график,Полная занятость,Не указано,0,Московская область,70000,60000
2,Сборщик-комплектовщик (м. Фонвизинская),Сменный график,Полная занятость,Не указано,0,г Москва,80000,80000
0,Сборщик (м. Озерная),Сменный график,Полная занятость,Не указано,0,г Москва,120000,80000
1,администратор,Полный рабочий день,Полная занятость,Среднее профессиональное,0,Татарстан республика,46000,32000
2,продавец-кассир магазина Пятерочка Елабуга Мира 35,Полный рабочий день,Полная занятость,Не указано,0,Татарстан республика,42500,31500
0,Кладовщик,Полный рабочий день,Полная занятость,Среднее профессиональное,0,Луганская Народная республика,0,16242
1,Повар,Полный рабочий день,Полная занятость,Среднее профессиональное,0,Луганская Народная республика,0,16242
2,Техник-технолог,Полный рабочий день,Полная занятость,Среднее профессиональное,1,Луганская Народная республика,0,23000
0,Дворник,Сменный график,Полная занятость,Не указано,0,Московская область,30000,30000
1,Оператор почтовой связи,Сменный график,Полная занятость,Не указано,0,Московская область,43000,36000
2,Сортировщик,Сменный график,Полная занятость,Не указано,0,г Москва,91500,82500
0,Оператор почтовой связи,Неполный рабочий день,Частичная занятость,Не указано,0,Московская область,30000,25000
1,Логист,Полный рабочий день,Полная занятость,Не указано,1,Краснодарский край,100000,30000
2,Разнорабочий,Полный рабочий день,Полная занятость,Не указано,0,Крым республика,70000,40000
0,Менеджер ресторана,Полный рабочий день,Полная занятость,Не указано,1,г Москва,85000,75000
1,Оператор-кассир на АЗС,Полный рабочий день,Полная занятость,Не указано,0,Нижегородская область,35000,25000
2,стоматолог терапевт,Полный рабочий день,Полная занятость,Высшее,10,Рязанская область,80000,60000
0,Врач-хирург,Полный рабочий день,Полная занятость,Высшее,0,Мурманская область,180000,100000
1,Заведующий филиалом,Полный рабочий день,Полная занятость,Высшее,0,Мурманская область,120000,120000
2,Младшая медицинская сестра,Полный рабочий день,Полная занятость,Не указано,0,Мурманская область,45000,45000
0,Врач педиатр участковый,Полный рабочий день,Полная занятость,Высшее,от 0,Мурманская область,140000,100000
1,Медицинская сестра,Полный рабочий день,Полная занятость,Среднее профессиональное,от 0,Мурманская область,70000,55000
2,Медицинская сестра постовая,Сменный график,Полная занятость,Среднее профессиональное,от 0,Мурманская область,80000,55000
0,Грузчик-комплектовщик,Полный рабочий день,Полная занятость,Не указано,1,г Санкт-Петербург,50000,40000
1,Техник по эксплуатации систем вентиляции и кондиционировании,Полный рабочий день,Полная занятость,Среднее профессиональное,3,г Санкт-Петербург,65000,65000
2,Врач-гастроэнтеролог,Сменный график,Полная занятость,Не указано,1,г Санкт-Петербург,90000,90000
0,Автомеханик,Сменный график,Полная занятость,Не указано,0,г Санкт-Петербург,110000,60000
1,Техник по заканчиванию скважин,Вахтовый метод,Полная занятость,Среднее профессиональное,3,Ханты-Мансийский Автономный округ - Югра автономный округ,0,153000
2,Инженер в службу главного инженера (с функцией специалиста по снабжению),Полный рабочий день,Полная занятость,Не указано,1,г Санкт-Петербург,65000,65000
0,специалист по охране труда,Гибкий график,Полная занятость,Высшее,0,Удмуртская республика,20000,19000
1,учитель физики,Полный рабочий день,Полная занятость,Высшее,0,Удмуртская республика,38000,30000
2,учитель географии,Полный рабочий день,Полная занятость,Высшее,0,Удмуртская республика,35000,25000
0,Ассистент менеджера по продажам/офис менеджер,Полный рабочий день,Полная занятость,Не указано,0,Татарстан республика,55000,45000
1,Менеджер тендерного отдела,Полный рабочий день,Полная занятость,Высшее,3,Татарстан республика,70000,70000
2,Уборщик территории,Полный рабочий день,Полная занятость,Не указано,0,Тверская область,16242,16242
0,Врач-ревматолог,Сменный график,Полная занятость,Высшее,0,Тверская область,0,35000
1,Врач-гериатр,Сменный график,Полная занятость,Высшее,1,Тверская область,0,30000
2,Медицинская сестра кабинета хирурга,Сменный график,Полная занятость,Среднее профессиональное,0,Тверская область,0,27000
0,Учитель географии,Полный рабочий день,Полная занятость,Высшее,0,Архангельская область,0,27612
1,Учитель иностранного языка,Полный рабочий день,Полная занятость,Высшее,0,Архангельская область,0,27612
2,техник,Неполный рабочий день,Частичная занятость,Среднее профессиональное,0,Архангельская область,0,27612
0,Водитель автомобиля,Полный рабочий день,Полная занятость,Среднее,0,г Санкт-Петербург,0,16242
1,Уборщик производственных и служебных помещений,Полный рабочий день,Полная занятость,Не указано,0,г Санкт-Петербург,0,16242
2,учитель,Полный рабочий день,Полная занятость,Не указано,0,Ярославская область,24000,22000
0,"Старший специалист 1 разряда отдела защиты гостайны, спецработы и делопроизводства",Полный рабочий день,Полная занятость,Высшее,0,г Санкт-Петербург,0,19000
1,"Ведущий специалист-эксперт отдела защиты гостайны, спецработы и делопроизводства",Полный рабочий день,Полная занятость,Высшее,0,г Санкт-Петербург,0,21000
2,"Специалист 1 разряда отдела экономики, финансов и государственных закупок",Полный рабочий день,Полная занятость,Среднее профессиональное,0,Новгородская область,0,16242
0,Уборщик служебных помещений (р-н Цирка),Сменный график,Полная занятость,Не указано,0,Костромская область,23000,23000
1,Ведущий специалист-эксперт отдела материально-технического и информационного обеспечения деятельности,Полный рабочий день,Полная занятость,Высшее,0,г Санкт-Петербург,0,21000
2,Главный специалист-эксперт отдела материально-технического и информационного обеспечения деятельности,Полный рабочий день,Полная занятость,Высшее,0,г Санкт-Петербург,0,22800
0,Государственный инспектор отдела земельного надзора,Полный рабочий день,Полная занятость,Высшее,0,г Санкт-Петербург,0,20000
1,"Специалист 1 разряда отдела государственного надзора в области карантина растений, семенного надзора, качества и безопасности зерна по Новгородской и Вологодской областям",Полный рабочий день,Полная занятость,Среднее профессиональное,0,Вологодская область,0,18678
2,"Старший государственный инспектор отдела государственного надзора в области  карантина растений, семенного надзора, качества и безопасности зерна",Полный рабочий день,Полная занятость,Высшее,0,г Санкт-Петербург,0,22000
0,полицейский (водитель) конвойной группы,Полный рабочий день,Полная занятость,Среднее,0,Мурманская область,50000,30000
1,Полицейский патрульно-постовой службы полиции,Сменный график,Полная занятость,Среднее,0,Мурманская область,55000,35000
2,Монтажник инженерных наружных сетей,Гибкий график,Полная занятость,Среднее,4,Ростовская область,100000,70000
0,Начинающий специалист в недвижимости,Полный рабочий день,Полная занятость,Среднее,от 0,г Москва,200000,100000
1,Автослесарь-автомеханик,Полный рабочий день,Полная занятость,Среднее,4,г Москва,300000,90000
2,Кассир-продавец,Сменный график,Полная занятость,Не указано,0,г Москва,62000,62000
0,Консультант по лабораторной медицине,Полный рабочий день,Полная занятость,Высшее,3,г Москва,0,90000
1,Ведущий консультант по лабораторной медицине,Полный рабочий день,Полная занятость,Высшее,5,г Москва,130000,130000
2,Санитарка/санитар,Полный рабочий день,Полная занятость,Среднее общее,0,г Москва,55000,55000
0,Менеджер справочно-информационной службы (оператор call-центра),Сменный график,Полная занятость,Среднее профессиональное,1,г Москва,0,65000
1,Литейщик цветных металлов и сплавов,Полный рабочий день,Полная занятость,Не указано,2,Владимирская область,60000,40000
2,Слесарь механосборочных работ в автомобилестроении,Полный рабочий день,Полная занятость,Не указано,2,Владимирская область,60000,40000
0,Сестра-хозяйка,Полный рабочий день,Полная занятость,Среднее,0,г Санкт-Петербург,0,50000
1,Врач-диетолог,Неполный рабочий день,Частичная занятость,Высшее,0,г Санкт-Петербург,0,70000
2,Инструктор-методист по адаптивной физической культуре и адаптивному спорту,Полный рабочий день,Полная занятость,Высшее,0,г Санкт-Петербург,0,30639
0,Младшая медицинская сестра по уходу за больными,Полный рабочий день,Полная занятость,Не указано,0,г Санкт-Петербург,0,60000
1,Культорганизатор,Полный рабочий день,Полная занятость,Высшее,0,г Санкт-Петербург,0,30639
2,Уборщик производственных и служебных помещений,Сменный график,Полная занятость,Основное общее,1,Ленинградская область,0,30000
0,Ассистент по оказанию технической помощи,Сменный график,Полная занятость,Среднее,0,г Санкт-Петербург,0,30000
1,Юрисконсульт,Полный рабочий день,Полная занятость,Высшее,0,г Санкт-Петербург,0,60000
2,Педагог дополнительного образования,Полный рабочий день,Полная занятость,Высшее,0,г Санкт-Петербург,0,40000
0,Фельдшер медицинской части,Полный рабочий день,Полная занятость,Не указано,0,Саратовская область,0,18715
1,Государственный инспектор отдела пограничного ветеринарного контроля на Государственной границе Российской Федерации и транспорте по Псковской области,Полный рабочий день,Полная занятость,Высшее,0,Псковская область,0,20000
2,главный библиотекарь,Полный рабочий день,Временная,Высшее,0,Краснодарский край,22000,16300
0,Государственный инспектор отдела пограничного ветеринарного контроля на Государственной границе Российской Федерации и транспорте,Полный рабочий день,Полная занятость,Высшее,0,г Санкт-Петербург,0,20000
1,водитель школьного автобуса,Полный рабочий день,Полная занятость,Не указано,3,Калининградская область,27000,27000
2,начальник отдела воинского учета,Полный рабочий день,Полная занятость,Высшее,0,Краснодарский край,24800,0
0,"Наставник в сфере IT (тьютор, преподаватель)",Неполный рабочий день,Частичная занятость,Не указано,0,Краснодарский край,50000,30000
1,Водитель-экспедитор,Полный рабочий день,Полная занятость,Не указано,3,Тверская область,50000,45000
2,Художник-оформитель (средней квалификации),Полный рабочий день,Полная занятость,Высшее,0,Краснодарский край,20000,16242
0,Заведующий производства в столовой,Полный рабочий день,Полная занятость,Среднее профессиональное,3,Свердловская область,45000,40000
1,Мойщик посуды,Полный рабочий день,Полная занятость,Не указано,от 0,Свердловская область,25000,23000
2,Бухгалтер,Полный рабочий день,Полная занятость,Не указано,от 0,Свердловская область,50000,40000
0,Повар,Полный рабочий день,Полная занятость,Среднее профессиональное,1,г Москва,55000,48000
1,Повар,Полный рабочий день,Полная занятость,Среднее профессиональное,1,г Москва,55000,48000
2,Экономист по ценам общественного питания,Полный рабочий день,Полная занятость,Высшее,3,г Москва,85000,75000
0,СПЕЦИАЛИСТ ПО ОХРАНЕ ТРУДА,Полный рабочий день,Полная занятость,Высшее,1,г Санкт-Петербург,35000,35000
1,Рабочий по комплексному обслуживанию и ремонту зданий,Полный рабочий день,Полная занятость,Не указано,0,г Санкт-Петербург,0,0
2,Инженер склада,Полный рабочий день,Полная занятость,Не указано,от 0,Московская область,0,0
0,Слесарь-сантехник,Сменный график,Полная занятость,Не указано,от 0,Московская область,0,0
1,Ведущий специалист по развитию кассовых систем,Полный рабочий день,Полная занятость,Не указано,от 0,г Москва,0,0
2,Директор магазина (ТЦ Карусель на Савушкина),Полный рабочий день,Полная занятость,Не указано,от 0,г Санкт-Петербург,0,0
0,"Менеджер по интернет-заказам (ТЦ ""ЦУМ"")",Сменный график,Полная занятость,Не указано,от 0,Орловская область,0,0
1,Медицинская сестра,Полный рабочий день,Полная занятость,Среднее профессиональное,3,Краснодарский край,16500,16500
2,Специалист группы отгрузки,Сменный график,Полная занятость,Не указано,от 0,Калужская область,0,0
0,Рекрутер (удаленно),Гибкий график,Полная занятость,Не указано,от 0,г Москва,0,0
1,Ведущий инженер флота ВС,Полный рабочий день,Полная занятость,Не указано,от 0,г Москва,0,0
2,QA Automation engineer Android,Полный рабочий день,Полная занятость,Не указано,от 0,г Москва,0,0
0,"Менеджер по товару / Кладовщик (ТЦ ""Никольский"")",Полный рабочий день,Полная занятость,Не указано,от 0,Курская область,0,0
1,"Менеджер по товару/Кладовщик (ТЦ ""Рубин"")",Сменный график,Полная занятость,Не указано,от 0,Тверская область,0,0
2,Менеджер группы администраторов транспортной логистики,Полный рабочий день,Полная занятость,Не указано,от 0,г Москва,0,0
0,Продавец-кассир в Детский мир (ТЦ Эльдорадо),Полный рабочий день,Полная занятость,Не указано,от 0,Забайкальский край,0,0
1,Продавец-кассир,Полный рабочий день,Полная занятость,Не указано,от 0,Пермский край,0,0
2,Разнорабочий,Полный рабочий день,Полная занятость,Не указано,от 0,Калужская область,0,0
0,Инженер по эксплуатации-энергетик,Полный рабочий день,Полная занятость,Не указано,от 0,г Санкт-Петербург,0,0
1,"Старший менеджер по товару/Старший кладовщик (ТЦ ""Рассвет"")",Полный рабочий день,Полная занятость,Не указано,от 0,Вологодская область,0,0
2,"Продавец-кассир (ТЦ ""Лента"")",Сменный график,Полная занятость,Не указано,от 0,Нижегородская область,0,0
0,Комплектовщик,Полный рабочий день,Полная занятость,Не указано,от 0,Калужская область,0,0
1,Младший консультант SAP ERP (MM/SD),Гибкий график,Полная занятость,Не указано,от 0,г Москва,0,0
2,Руководитель группы по заканчиванию скважин,Полный рабочий день,Полная занятость,Не указано,от 0,Самарская область,0,0
0,Продавец-кассир (ТЦ Интерсити),Полный рабочий день,Полная занятость,Не указано,от 0,Тульская область,0,0
1,Продавец-кассир в Детский мир (ТЦ Макси),Полный рабочий день,Полная занятость,Не указано,от 0,Тульская область,0,0
2,Дизайнер-консультант (Специалист по продажам проектов),Полный рабочий день,Полная занятость,Не указано,от 0,Нижегородская область,0,0
0,Продавец-кассир в ЗооЗавр (метро Московская),Полный рабочий день,Полная занятость,Не указано,от 0,Самарская область,0,0
1,"Продавец-кассир (в тц ""Катрин"")",Полный рабочий день,Полная занятость,Не указано,от 0,Челябинская область,0,0
2,"Продавец-кассир в Детский мир (ТЦ Монпансье / LeoMall, ТЦ Лыжный)",Сменный график,Полная занятость,Не указано,от 0,г Санкт-Петербург,0,0
0,Специалист группы отгрузки,Сменный график,Полная занятость,Не указано,от 0,Калужская область,0,0
1,Разнорабочий,Полный рабочий день,Полная занятость,Не указано,от 0,Московская область,0,0
2,Комплектовщик,Вахтовый метод,Полная занятость,Не указано,от 0,Московская область,0,0
0,"Сборщик интернет заказов / Утренние смены (в ТЦ ""Цум"")",Полный рабочий день,Полная занятость,Не указано,от 0,Пермский край,0,0
1,Продавец-кассир (ТЦ Метрополис),Сменный график,Полная занятость,Не указано,от 0,г Москва,0,0
2,Продавец-кассир (ТЦ Твой),Полный рабочий день,Частичная занятость,Не указано,от 0,Мурманская область,0,0
0,"Продавец-кассир (ТЦ ""Карусель"")",Сменный график,Полная занятость,Не указано,от 0,Белгородская область,0,0
1,"Менеджер по товару / Кладовщик ( ТЦ ""Централ Парк"" )",Сменный график,Полная занятость,Не указано,от 0,Курская область,0,0
2,"Продавец-кассир (ТЦ ""РИО"")",Полный рабочий день,Полная занятость,Не указано,от 0,Ярославская область,0,0
0,"Продавец-кассир (ТЦ ""Олимп"")",Сменный график,Полная занятость,Не указано,от 0,Тверская область,0,0
1,"Продавец-кассир в Детский мир (ТЦ ""Рассвет"")",Сменный график,Полная занятость,Не указано,от 0,Вологодская область,0,0
2,"Менеджер по товару/Кладовщик (ТЦ ""Евролэнд"")",Полный рабочий день,Полная занятость,Не указано,от 0,Ивановская область,0,0
0,Продавец-консультант в магазин NCF (ТРЦ Авиапарк),Полный рабочий день,Полная занятость,Не указано,от 0,г Москва,0,0
1,"Менеджер по товару/Кладовщик (ТЦ ""Триумф Плаза"")",Сменный график,Полная занятость,Не указано,от 0,Калужская область,0,0
2,"Менеджер по товару/Кладовщик (ТЦ ""Атлас"")",Полный рабочий день,Полная занятость,Не указано,от 0,Калужская область,0,0
0,"Контролер/Охранник в ТЦ ""Атом""",Сменный график,Полная занятость,Не указано,от 0,Нижегородская область,0,0
1,"Продавец-кассир в Детский Мир (ТЦ ""Фантастика"")",Сменный график,Полная занятость,Не указано,от 0,Нижегородская область,0,0
2,"Заместитель директора магазина (ТЦ ""Небо"")",Сменный график,Полная занятость,Не указано,от 0,Нижегородская область,0,0
0,"Менеджер по товару / Кладовщик (ТЦ ""Звезда"")",Сменный график,Полная занятость,Не указано,от 0,Нижегородская область,0,0
1,"Продавец-кассир (ТЦ ""Мещера"")",Полный рабочий день,Полная занятость,Не указано,от 0,Нижегородская область,0,0
2,"Менеджер по интернет-заказам (ТЦ ""Бум-сити"")",Сменный график,Полная занятость,Не указано,от 0,Брянская область,0,0
0,"Продавец-кассир в Детский мир (ТЦ ""Муравей"")",Сменный график,Полная занятость,Не указано,от 0,Нижегородская область,0,0
1,"Продавец-кассир (ТЦ ""Дзержинец"")",Сменный график,Полная занятость,Не указано,от 0,Нижегородская область,0,0
2,Продавец-кассир в Детский мир (ТЦ Союз),Сменный график,Полная занятость,Не указано,от 0,Нижегородская область,0,0
0,"Заместитель директора магазина (ТЦ ""Ковров Молл"")",Сменный график,Полная занятость,Не указано,от 0,Владимирская область,0,0
1,"Менеджер по товару / Кладовщик (ТЦ ""Мега"")",Сменный график,Полная занятость,Не указано,от 0,Нижегородская область,0,0
2,"Менеджер по интернет-заказам (ТЦ ""Городок"")",Сменный график,Полная занятость,Не указано,от 0,Владимирская область,0,0
0,"Менеджер по интернет-заказам (ТЦ ""Карусель"")",Полный рабочий день,Полная занятость,Не указано,от 0,Нижегородская область,0,0
1,Продавец-кассир в Детский мир (Нижний Новгород),Сменный график,Полная занятость,Не указано,от 0,Нижегородская область,0,0
2,"Менеджер по интернет-заказам (ТЦ ""Рассвет"")",Сменный график,Полная занятость,Не указано,от 0,Вологодская область,0,0
0,Продавец-кассир в Детский мир (Владимир),Сменный график,Полная занятость,Не указано,от 0,Владимирская область,0,0
1,Продавец-кассир в Детский мир (Кострома),Сменный график,Полная занятость,Не указано,от 0,Костромская область,0,0
2,Старший менеджер по товару / Старший кладовщик ( Веризино ),Сменный график,Полная занятость,Не указано,от 0,Владимирская область,0,0
0,Инженер-строитель,Полный рабочий день,Полная занятость,Не указано,от 0,Иркутская область,0,0
1,Специалист управления инвестициями,Полный рабочий день,Полная занятость,Не указано,от 0,Иркутская область,0,0
2,Специалист 2-ой линии поддержки,Сменный график,Полная занятость,Не указано,от 0,Новосибирская область,0,0
0,Специалист по работе с пользователями,Полный рабочий день,Полная занятость,Высшее,2,г Москва,50000,0
1,Помощник менеджера проектов,Полный рабочий день,Полная занятость,Высшее,2,г Москва,50000,0
2,Ночной администратор,Сменный график,Полная занятость,Не указано,1,г Москва,75000,75000
0,Наладчик станков и манипуляторов с ПУ,Полный рабочий день,Полная занятость,Среднее профессиональное,1,Новгородская область,0,85000
1,Огнеупорщик,Полный рабочий день,Полная занятость,Среднее профессиональное,0,Новгородская область,0,40000
2,Электромонтер,Полный рабочий день,Полная занятость,Среднее профессиональное,1,Новгородская область,0,40000
0,Заведующий здравпунктом,Полный рабочий день,Полная занятость,Среднее профессиональное,0,Волгоградская область,20000,18000
1,составитель фарша,Сменный график,Полная занятость,Среднее профессиональное,2,г Санкт-Петербург,0,28000
2,Аппаратчик термической обработки мясопродуктов,Сменный график,Полная занятость,Среднее профессиональное,1,г Санкт-Петербург,0,30000
0,Бухгалтер,Полный рабочий день,Полная занятость,Не указано,0,Крым республика,0,18000
1,Инженер-системный программист,Полный рабочий день,Полная занятость,Среднее профессиональное,0,Волгоградская область,0,34000
2,Следователь,Полный рабочий день,Полная занятость,Высшее,0,Волгоградская область,0,34000
0,Уборщица офисных помещений,Полный рабочий день,Полная занятость,Не указано,0,г Москва,80000,80000
1,следователь,Ненормированный рабочий день,Полная занятость,Высшее,0,Волгоградская область,0,34000
2,Участковый уполномоченный полиции,Ненормированный рабочий день,Полная занятость,Среднее профессиональное,0,Волгоградская область,38000,33000
0,Специалист по работе с клиентами,Полный рабочий день,Полная занятость,Среднее,от 0,Адыгея республика,45000,35000
1,Печатник-шелкограф / матрицор,Полный рабочий день,Полная занятость,Среднее,4,г Москва,120000,50000
2,Охранник с лицензией,Сменный график,Полная занятость,Среднее,2,Самарская область,0,50025
0,Менеджер по продажам,Полный рабочий день,Полная занятость,Среднее,от 0,Удмуртская республика,70000,40000
1,Менеджер по продажам (удаленно),Гибкий график,Полная занятость,Среднее,от 0,г Москва,0,35000
2,Консультант call-центра банка (удаленно),Полный рабочий день,Удаленная,Среднее,от 0,г Москва,0,35000
0,Ночной повар,Сменный график,Полная занятость,Среднее профессиональное,2,г Москва,60000,50000
1,Косметик,Полный рабочий день,Полная занятость,Не указано,0,г Москва,36800,36800
2,Повар,Сменный график,Полная занятость,Среднее профессиональное,1,г Москва,45000,40000
0,Старший смены службы гостиничного хозяйства,Сменный график,Полная занятость,Не указано,1,г Москва,50000,40000
1,Повар-заготовщик/мясник,Полный рабочий день,Полная занятость,Среднее профессиональное,3,г Москва,40000,35000
2,помощник воспитателя,Полный рабочий день,Полная занятость,Не указано,0,Воронежская область,25302,20302
0,Бригадир склада,Полный рабочий день,Полная занятость,Не указано,от 0,Московская область,0,0
1,Менеджер группы администраторов транспортной логистики,Полный рабочий день,Полная занятость,Не указано,от 0,Московская область,0,0
2,Менеджер группы администраторов транспортной логистики,Полный рабочий день,Полная занятость,Не указано,от 0,Московская область,0,0
0,Слесарь-монтажник санитарно-технических систем (сантехник),Полный рабочий день,Полная занятость,Среднее профессиональное,0,Краснодарский край,70000,52000
1,Специалист по профессиональной уборке,Сменный график,Полная занятость,Не указано,0,Краснодарский край,0,35000
2,Специалист поддержки пользователей 1С,Полный рабочий день,Полная занятость,Высшее,1,Краснодарский край,60000,60000
0,Осветитель 6-го разряда (высококвалифицированный рабочий),Полный рабочий день,Временная,Среднее профессиональное,2,Коми республика,0,28000
1,машинист сцены,Полный рабочий день,Полная занятость,Среднее профессиональное,0,Коми республика,0,28000
2,Концертмейстер по классу вокала - первой категории,Полный рабочий день,Временная,Высшее,6,Коми республика,0,40000
0,Оператор линии,Полный рабочий день,Полная занятость,Не указано,0,Белгородская область,31554,0
1,Пеший курьер,Неполный рабочий день,Частичная занятость,Не указано,0,Московская область,107000,107000
2,Пеший курьер,Неполный рабочий день,Частичная занятость,Не указано,0,Оренбургская область,80000,80000
0,Продавец-кассир,Полный рабочий день,Полная занятость,Не указано,0,Ленинградская область,41236,37488
1,Продавец-кассир,Полный рабочий день,Полная занятость,Не указано,0,г Санкт-Петербург,41236,37488
2,Продавец-кассир,Полный рабочий день,Полная занятость,Не указано,0,Ленинградская область,41236,37488
0,Специалист по психологической поддержке и социальной адаптации безработных граждан,Неполный рабочий день,Частичная занятость,Высшее,0,Кабардино-Балкарская республика,0,0
1,Врач-клинический фармаколог,Неполный рабочий день,Полная занятость,Высшее,0,Кабардино-Балкарская республика,10359,10359
2,врач-терапевт (дневного стационара) терапевтического отделения,Неполный рабочий день,Частичная занятость,Высшее,0,Кабардино-Балкарская республика,3620,3620
0,Помощник дежурного ИВС,Сменный график,Полная занятость,Среднее,0,Пермский край,30000,25000
1,Советник по воспитанию,Полный рабочий день,Полная занятость,Не указано,0,г Санкт-Петербург,30000,30000
2,Водитель погрузчика,Полный рабочий день,Полная занятость,Не указано,1,Ленинградская область,65000,65000
0,Слесарь -ремонтник,Полный рабочий день,Полная занятость,Среднее профессиональное,2,Ярославская область,0,22335
1,Инженер-технолог,Полный рабочий день,Полная занятость,Среднее профессиональное,3,г Санкт-Петербург,0,23500
2,Слесарь-ремонтник,Полный рабочий день,Полная занятость,Среднее профессиональное,2,Ярославская область,0,24684
0,Продавец,Сменный график,Полная занятость,Не указано,0,г Санкт-Петербург,76000,38000
1,Администратор торгового зала,Сменный график,Полная занятость,Не указано,0,г Санкт-Петербург,45000,45000
2,администратор торгового зала,Сменный график,Полная занятость,Не указано,0,г Санкт-Петербург,45000,45000
0,Продавец,Сменный график,Полная занятость,Не указано,0,г Санкт-Петербург,70000,38000
1,Категорийный менеджер - направление ФРЕШ,Полный рабочий день,Полная занятость,Не указано,0,г Санкт-Петербург,100000,100000
2,Заместитель директора,Полный рабочий день,Полная занятость,Не указано,0,г Санкт-Петербург,70000,70000
0,Кладовщик Рузаевка,Полный рабочий день,Полная занятость,Не указано,2,Мордовия республика,50000,50000
1,Геодезист,Полный рабочий день,Полная занятость,Высшее,2,Мурманская область,0,120000
